username,tweet,id,date,class
RirryVLNY,yo bebas kalo fetishmu arek mlarat tapi gausah ngeroso dadi arek seng paling gak matrek,1326932945660080000,1605215752912,negative
Farabii_,Unistall line aja dah. Useless banget notif gapernah muncul,1326917247592435700,1605216091411,negative
ladazaa,"motto apaan berak, kalo orang lain bisa kenapa harus saya",1326915775450521600,1605216145925,negative
honcuk,TEORINYA SIH NGONOOOOOOO. tapi yang udah udahğŸ˜¤ makane aku happy banget pas ono sing mbayari mangan atau nransferi. karena biasane aku sing ngonoğŸƒ,1326907728669913000,1605216272745,negative
DaniPranantya,Cok ternyata sek kedonyan aku ternyata...,1326902165076586500,1605216370171,negative
honcuk,JEMBATAN PELOR INI LUAR BIASAKKKKKKKK MOSOK YAHMENE IJEH MACET,1326894101913014300,1605216516365,negative
philipyoungg,@tibudiyanto Lagi panas banget hari ini.,1327526515727163400,1605344240884,negative
apdlelsk_,"Ya Allah sumuke ga umum blassssssss, sabar sabar",1327536043709530000,1605344395734,negative
Miduk17,"Hari ini di Tebet, Jakarta SelatanHarap bersabar kepada teman2 yg mau berangkat kerjaKarena NEGARA sudah tidak mampu lagi mengatur rakyatnyaMohon hindari area Jl Tebet Timur Raya, Jakarta Selatan https://t.co/2OGWU943xs",1327059455381434400,1605347930794,negative
forgedflange,Akun anda vs alter semarang minta jatah ngentot. https://t.co/PWgCjStD3g,1328254758147170300,1605516107200,negative
angewwie,apasi liat thrift shop di tl ig waktu gua buka dia jual baju hampir 200k anjir malak,1328234188948967400,1605516215193,negative
iyaslawrence,Client: wih twitter ada fitur baru nihAgency: ah ngentot,1329391042383102000,1605795447622,negative
Cilorconnoistre,"Ga butuh Fleets, butuhnya fitur search keyword di DMğŸ˜¡ğŸ˜¡ğŸ˜¡",1329405917863964700,1605795585461,negative
